,좌석 수,티켓 판매수
3,241,412
5,2283,1011
12,241,453
14,2283,915
21,241,401
23,2283,945
27,1004,738
30,241,386
32,2283,1069
36,1004,747
39,241,357
41,2283,1733
45,1004,785
48,241,286
50,2283,2023
55,354,353
56,2527,1583
66,241,289
67,600,423
68,2283,768
74,2527,2097
75,241,299
77,2283,811
83,2527,3077
84,241,301
86,2283,980
92,325,195
96,325,189
100,325,236
104,325,254
108,325,282
111,1255,31
115,1255,38
119,1255,5
123,1255,12
127,1255,23
128,325,311
131,1255,57
132,325,445
135,1255,53
136,325,156
139,1255,54
140,325,424
143,1255,28
144,325,142
147,1255,54
148,325,189
151,1255,88
152,325,325
155,1255,129
156,325,434
159,1255,33
163,1255,54
167,1255,54
171,1255,61
175,1255,114
176,325,369
179,1255,135
180,325,395
184,325,178
187,1255,34
191,1255,34
192,325,208
195,1255,37
196,325,217
199,1255,67
200,325,206
203,1255,144
204,325,404
207,1255,134
208,325,460
211,1255,6
215,1255,14
219,1255,20
223,1255,25
227,1255,52
228,325,317
231,1255,55
232,325,312
234,3022,2981
235,443,438
237,300,117
243,443,438
244,609,602
245,300,126
251,443,436
252,609,552
253,300,154
259,443,438
261,300,105
266,3022,1309
267,443,360
268,609,602
269,300,181
275,443,285
276,609,411
277,300,132
283,443,395
291,443,522
299,443,418
300,609,514
307,443,422
308,609,519
309,300,216
314,3022,6004
316,609,522
322,3022,6004
323,443,298
330,3022,2295
331,443,366
332,609,91
338,3022,2298
339,443,354
340,609,96
341,300,75
347,443,305
349,300,71
355,443,427
362,3022,1084
363,443,267
364,609,101
365,300,33
371,443,425
372,609,86
373,300,21
378,3022,2448
379,443,421
380,609,602
381,300,298
387,443,286
389,300,90
395,443,436
396,609,558
397,300,90
403,443,299
404,609,583
411,443,322
412,609,598
413,300,324
419,443,429
421,300,324
427,443,87
428,609,236
434,3022,1531
435,443,122
436,609,602
442,3022,1485
443,443,121
444,609,601
450,3022,1845
451,443,438
453,300,192
458,3022,1515
459,443,374
460,609,602
461,300,218
467,443,421
468,609,602
469,300,111
474,3022,1974
475,443,438
476,609,600
477,300,84
483,443,435
485,300,130
490,3022,1424
491,443,403
493,300,108
498,3022,3002
499,443,438
501,300,144
507,443,406
509,300,288
514,3022,2682
515,443,443
517,300,168
606,1004,353
614,1004,724
622,1004,844
630,1004,252
638,1004,490
646,1004,256
654,1004,368
662,1004,757
670,1004,705
678,1004,231
686,1004,349
694,1004,208
702,1004,537
710,1004,1010
718,1004,865
726,1004,271
734,1004,706
742,1004,403
750,1004,291
758,1004,593
766,1004,826
774,1004,209
782,1004,489
790,1004,213
798,1004,294
806,1004,671
814,1004,614
822,1004,207
830,1004,489
838,1004,215
846,1004,286
854,1004,850
863,250,3
866,250,1
868,365,60
869,250,19
871,365,163
872,250,39
874,365,91
875,250,17
877,365,27
878,250,20
880,365,172
881,250,20
883,365,15
884,250,20
886,365,63
887,250,20
889,365,126
890,250,49
892,365,129
893,250,19
895,365,66
896,250,18
898,365,112
899,250,20
901,365,59
902,250,20
904,365,37
905,250,23
907,365,140
908,250,41
910,365,163
911,250,21
913,365,74
914,250,21
916,365,54
917,250,23
919,365,66
920,250,21
922,365,30
923,250,20
925,365,179
926,250,23
928,365,173
932,110,245
933,600,67
934,110,223
935,600,77
936,110,222
937,600,107
938,110,185
939,600,48
940,110,273
941,600,109
942,110,342
943,600,113
944,110,330
945,600,225
947,600,72
949,600,10
951,600,26
953,600,10
955,600,10
956,110,19
958,110,17
959,600,10
960,110,14
962,110,32
963,600,10
964,110,24
965,1230,121
966,1230,31
967,1230,66
968,1230,29
969,1230,25
970,1230,141
971,1230,110
972,1230,44
973,1230,47
974,1230,29
975,1230,36
976,1230,150
977,1230,92
978,1230,47
979,1230,64
980,1230,41
981,1230,22
982,1230,166
983,1230,111
984,1230,51
985,1230,77
986,1230,51
987,1230,96
988,1230,104
989,1230,83
993,512,442
997,512,437
1001,512,448
1005,512,476
1006,627,449
1009,512,467
1013,512,458
1017,512,449
1021,512,467
1025,512,462
1026,627,423
1033,512,357
1037,512,410
1041,512,325
