,DK_SS,DK_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,JS_PERSON,end_day
0,9,올림픽홀,대중공연,"Hiphop PARYY - 딘, 크러시, 자이언티 / DJ. DOC, 코요테",20170418,3800.0,Tue
1,9,올림픽홀,대중공연,나훈아콘서트,20171031,8735.0,Tue
2,9,올림픽홀,대중공연,여자친구 THE FIRST FAN MEETING [DEAR BUDDY],20170402,2337.0,Sun
3,5,핸드볼경기장,공공행사,제7회 전국동시지방선거 및 국회의원재선거 개표,20180609,1200.0,Sat
4,9,올림픽홀,대중공연,2018 팬텀 vs 팬텀 콘서트 (가칭),20180616,3430.0,Sat
5,9,올림픽홀,대중공연,iKON 2018 PRIVATE STAGE(가제),20180606,5350.0,Wed
6,9,올림픽홀,대중공연,이선희 콘서트 -리메이크 음반 발매기념,20180626,8681.0,Tue
7,9,올림픽홀,대중공연,WINNER 2018 PRIVATE STAGE [#위너는토론중 WWIC 2018] (가제),20180615,5930.0,Fri
8,5,핸드볼경기장,문화예술행사,2018 뉴이스트W 단독콘서트,20180316,15847.0,Fri
9,5,핸드볼경기장,문화예술행사,Youtbe Fanfest (유튜브 팬페스트),20180219,3250.0,Mon
10,7,우리금융아트홀 연습실,문화예술행사,"어린이체험전 [Hi, Story], [콩알콩알] 10월분",20171001,1591.0,Sun
11,10,뮤즈라이브,문화예술행사,재즈피아니스트 안라라의 재즈 in 가을,20171020,50.0,Fri
12,9,올림픽홀,대중공연,플라이투더스카이 콘서트,20171123,3080.0,Thu
13,19,평화의광장,공공행사,2017 UN세계요가의날 한국행사,20170621,1000.0,Wed
14,7,우리금융아트홀,대중공연,맨투맨탐정단 공개방송,20170610,1000.0,Sat
15,9,올림픽홀,대중공연,소녀시대 10주년 팬미팅,20170804,2653.0,Fri
16,9,올림픽홀,문화예술행사,2017 이승환 전국투어(가제),20171130,6148.0,Thu
17,5,핸드볼경기장,문화예술행사,박정현 겨울 콘서트 'LET IT SNOW',20171223,9419.0,Sat
18,9,올림픽홀,문화예술행사,저작권과 함께하는 페스티벌 - KMPF,20171107,3149.0,Tue
19,5,핸드볼경기장,문화예술행사,아시아 매나페스트 2017,20171129,2200.0,Wed
20,7,우리금융아트홀,대중공연,2017 구구단 1st 팬미팅,20170907,940.0,Thu
21,7,우리금융아트홀,대중공연,2017 터보 여름 콘서트 ,20170902,1674.0,Sat
22,9,올림픽홀,문화예술행사,굿뉴스코 페스티벌,20170219,5080.0,Sun
23,9,올림픽홀,대중공연,옥타곤FC 개막전,20170317,993.0,Fri
24,5,핸드볼경기장,문화예술행사,2017 비투비 서울 콘서트,20171223,9076.0,Sat
25,5,핸드볼경기장,문화예술행사,트와이스 콘서트,20170217,11924.0,Fri
26,5,핸드볼경기장,문화예술행사,2PM 콘서트,20170221,9797.0,Tue
27,9,올림픽홀,대중공연,2017 이종석 PRIVATE STAGE CONCERT(가제),20170908,2070.0,Fri
28,21,88잔디마당,문화예술행사,그랜드 민트 페스티벌 2017 (Grand Mint Festival 2017),20171016,14893.0,Mon
29,10,뮤즈라이브,대중공연,CLC 미니  콘서트,20170526,120.0,Fri
30,9,올림픽홀,대중공연,2017 박원 단독 콘서트,20170831,1978.0,Thu
31,7,우리금융아트홀 연습실,문화예술행사,얼렁뚱땅 색깔공장(5월),20170501,3180.0,Mon
32,8,K-아트홀,대중공연,2019 박상돈 단독콘서트,20190110,457.0,Thu
33,9,올림픽홀,대중공연,2019 여자친구 팬미팅,20190209,2500.0,Sat
34,9,올림픽홀,대중공연,크라프트베르크 내한공연,20190425,1530.0,Thu
35,5,핸드볼경기장,공공행사,제31회 강동구청장기 배드민턴대회,20190623,1200.0,Sun
36,5,핸드볼경기장,공공행사,제29회 송파구청장기 배드민턴대회,20190504,1400.0,Sat
37,9,올림픽홀,대중공연,ASTRO FANMEETING,20190301,5590.0,Fri
38,3,KSPO DOME(체조경기장),문화예술행사,2019 나훈아 청춘 AGAIN 콘서트,20190513,22353.0,Mon
39,5,핸드볼경기장,문화예술행사,몬스타엑스(MONSTA X) 2019 월드투어,20190409,8659.0,Tue
40,9,올림픽홀,대중공연,2017 김현중 팬미팅,20170429,2216.0,Sat
41,9,올림픽홀,대중공연,2017 몬스타엑스콘서트,20170615,4587.0,Thu
42,7,우리금융아트홀,대중공연,2018 최백호 콘서트,20180309,1186.0,Fri
43,7,우리금융아트홀,대중공연,최현우 <THE BRAIN>,20181204,18604.0,Tue
44,10,뮤즈라이브,문화예술행사,벅스TV vol.36 - 테이크,20180228,130.0,Wed
45,9,올림픽홀,문화예술행사,2018 자우림 정규앨범 발매 기념콘서트 (가제),20180705,5050.0,Thu
46,9,올림픽홀,대중공연,이준기 팬미팅,20180406,1366.0,Fri
47,7,우리금융아트홀 연습실,문화예술행사,얼렁뚱땅 색깔공장(6월),20170601,3093.0,Thu
48,10,뮤즈라이브,문화예술행사,"소리 모아, 마음 모아",20170923,161.0,Sat
49,19,평화의광장,공공행사,평창동계올림픽 성공기원 문화시민응원단 한마음 페스티벌,20170930,2500.0,Sat
50,8,K-아트홀,대중공연,원재즈나잇,20171022,250.0,Sun
51,15,벨로드롬,공공행사,송파경찰서 한마음 한울타리 어울림 체육대회,20170915,150.0,Fri
52,9,올림픽홀,대중공연,2017 Dream Theater(드림시어터) 내한공연,20170915,2810.0,Fri
53,7,우리금융아트홀 연습실,문화예술행사,얼렁뚱땅 색깔공장(4월),20170401,2678.0,Sat
54,10,뮤즈라이브,문화예술행사,테이크 콘서트,20170722,264.0,Sat
55,5,핸드볼경기장,문화예술행사,2017 젝스키스 팬미팅 [YELLOWKIES DAY],20170713,7088.0,Thu
56,10,뮤즈라이브,문화예술행사,치과의사 밴드 연합 음악제,20171111,150.0,Sat
57,9,올림픽홀,대중공연,혁오 단독공연 (예정),20170529,3311.0,Mon
58,5,핸드볼경기장,문화예술행사,제11회 서울재즈페스티벌(Seoul Jazz Festival) 2017,20170524,26545.0,Wed
59,9,올림픽홀,문화예술행사,굿뉴스코 페스티벌 앵콜공연,20170319,2250.0,Sun
60,9,올림픽홀,대중공연,2017 레드벨벳 첫번째 콘서트,20170814,10011.0,Mon
61,9,올림픽홀,대중공연,러블리즈 콘서트,20170726,4430.0,Wed
62,9,올림픽홀,대중공연,프로듀스101 시즌2 콘서트,20170628,6550.0,Wed
63,9,올림픽홀,대중공연,언더나인틴 파이널 콘서트&팬타콘 팬미팅,20190221,1905.0,Thu
64,10,뮤즈라이브,문화예술행사,윤주희 2집앨범 <Mother Nature> 발매 기념 쇼케이스,20181221,128.0,Fri
65,9,올림픽홀,대중공연,2019 불타는 청춘 콘서트,20190328,4387.0,Thu
66,3,KSPO DOME(체조경기장),문화예술행사,"2019 iKON CONCERT (ENCORE), 2019 WINNER CONCERT (ENCORE) (가제)",20190102,19969.0,Wed
67,5,핸드볼경기장,문화예술행사,태민 2번째 콘서트,20190315,14241.0,Fri
68,3,KSPO DOME(체조경기장),문화예술행사,2019 뉴이스트 단독 콘서트,20190412,30530.0,Fri
69,8,K-아트홀,순수예술공연,정미정 아쟁 콘서트 - 달의 노래,20190814,103.0,Wed
70,10,뮤즈라이브,문화예술행사,케빈오 팬미팅,20190901,194.0,Sun
71,9,올림픽홀,대중공연,2018 스타팩 콘서트 - 성시경 콘서트,20180914,2564.0,Fri
72,10,뮤즈라이브,문화예술행사,Sprit Fingers(가제),20180919,119.0,Wed
73,7,우리금융아트홀 연습실,문화예술행사,"어린이체험전, [콩알콩알] 2월",20180201,2315.0,Thu
74,9,올림픽홀,문화예술행사,2018 크러쉬 단독 콘서트,20181103,6872.0,Sat
75,5,핸드볼경기장,문화예술행사,2018 여자친구 단독콘서트,20180908,5672.0,Sat
76,9,올림픽홀,문화예술행사,2018 미스코리아선발대회,20180702,850.0,Mon
77,5,핸드볼경기장,문화예술행사,제4회 한국청년대회 (Korea Youth Day) 청년 콘서트,20180814,1700.0,Tue
78,27,피크닉광장,공공행사,체육대회,20181019,100.0,Fri
79,8,K-아트홀,순수예술공연,연극 <그을린사랑>,20181203,1435.0,Mon
80,3,KSPO DOME(체조경기장),문화예술행사,2018 아이유 데뷔 10주년 아시아 투어 콘서트 ‘IU+’ (가제),20181118,21183.0,Sun
81,10,뮤즈라이브,문화예술행사,스트리머 뮤직 콘서트,20181201,210.0,Sat
82,8,K-아트홀,대중공연,2018 더로즈 콘서트,20181228,569.0,Fri
83,9,올림픽홀,대중공연,2019 이준기 아시아투어 [DELIGHT] ENCORE FAN-CONCERT (가제),20190427,1285.0,Sat
84,5,핸드볼경기장,문화예술행사,평창동계올림픽 성공개최 기념행사,20190206,1000.0,Wed
85,9,올림픽홀,대중공연,2019 거미 상반기 서울 콘서트,20190615,3719.0,Sat
86,7,우리금융아트홀,대중공연,뮤지컬 싯타르타(The Life Of siddhartha),20190902,10058.0,Mon
87,7,우리금융아트홀 연습실,문화예술행사,뮤지컬 <점박이 한반도의 공룡: 새로운 낙원>,20190624,100.0,Mon
88,7,우리금융아트홀,대중공연,"2019 ‘만9,900원의 행복’ 유리상자 콘서트 - 서울",20190420,1005.0,Sat
89,7,우리금융아트홀,대중공연,"2019＇만9,900원의 행복＇이현우콘서트 - 서울",20190601,900.0,Sat
90,9,올림픽홀,문화예술행사,2019 Stray Kids 단독콘서트 (가제),20191123,3933.0,Sat
91,9,올림픽홀,문화예술행사,2019 어반자카파 데뷔 10주년 콘서트,20190713,4297.0,Sat
92,3,KSPO DOME(체조경기장),문화예술행사,2019 아이유 아시아 투어 콘서트,20191123,26849.0,Sat
93,9,올림픽홀,문화예술행사,2019 SF9 LIVE FANTASY #2 (가제),20190809,2400.0,Fri
94,3,KSPO DOME(체조경기장),문화예술행사,NCT127 첫 번째 콘서트,20190126,21621.0,Sat
95,3,KSPO DOME(체조경기장),문화예술행사,2019 TWICE 단독 콘서트 (가제),20190525,17600.0,Sat
96,9,올림픽홀,문화예술행사,SUPER JUNIOR D&E 단독 콘서트,20190413,6930.0,Sat
97,9,올림픽홀,대중공연,2019 THE BOYZ FAN CONCERT,20190126,4159.0,Sat
98,9,올림픽홀,대중공연,라이관린 팬미팅(가제),20190405,2331.0,Fri
99,3,KSPO DOME(체조경기장),문화예술행사,2019 K-WORLD FESTA,20190812,42512.0,Mon
100,27,피크닉광장,공공행사,2019 키즈 러닝엔밀크(가칭),20191012,700.0,Sat
101,9,올림픽홀,대중공연,2018 MXM 1st CONCERT,20180927,3372.0,Thu
102,3,KSPO DOME(체조경기장),문화예술행사,2018 iKON CONCERT & WINNER CONCERT,20180813,18858.0,Mon
103,9,올림픽홀,대중공연,카이고(Kygo) 내한 공연,20181030,3902.0,Tue
104,10,뮤즈라이브,문화예술행사,셀럽티비 라이브데이 2회 공개방송,20180628,110.0,Thu
105,9,올림픽홀,대중공연,MAYDAY의  첫 내한공연,20180907,2810.0,Fri
106,9,올림픽홀,대중공연,엘리골딩 첫 내한공연,20180905,1250.0,Wed
107,5,핸드볼경기장,문화예술행사,사운드 시티 Sound City (가제),20180723,4260.0,Mon
108,9,올림픽홀,문화예술행사,볼빨간사춘기 앨범발매 기념콘서트,20180714,4798.0,Sat
109,19,평화의광장,공공행사,2018 스포츠재능나눔(페스티벌),20180831,3000.0,Fri
110,10,뮤즈라이브,문화예술행사,밴드 '기프트' 단독 콘서트,20180601,200.0,Fri
111,5,핸드볼경기장,문화예술행사,레드벨벳 콘서트,20180804,9517.0,Sat
112,8,K-아트홀,순수예술공연,상주단체공연 <소리도>,20180726,547.0,Thu
113,10,뮤즈라이브,문화예술행사,Play the Guitar,20180908,130.0,Sat
114,21,88잔디마당,문화예술행사,SLOW LIFE SLOW LIVE 2018(슬로우 라이프 슬로우 라이브 2018),20181001,1824.0,Mon
115,3,KSPO DOME(체조경기장),문화예술행사,SHINHWA 20years Anniversary Concert ‘HEART BEATS’  (가제),20181001,22345.0,Mon
116,9,올림픽홀,문화예술행사,에일리 단독콘서트 2018,20181208,3450.0,Sat
117,3,KSPO DOME(체조경기장),문화예술행사,그랜드 민트 페스티벌 2018,20181016,8000.0,Tue
118,9,올림픽홀,대중공연,2018 실연자 페스티벌 KMPF,20181025,1610.0,Thu
119,27,피크닉광장,공공행사,2018년 구립도담어린이집 운동회,20181027,150.0,Sat
120,9,올림픽홀,문화예술행사,제 14회 2019 아시아모델페스티벌,20190604,3250.0,Tue
