DK_JS,DK_SS,DK_NAME,DK_BRIEF_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,RENT_END_YMD,DK_DAY,SIN_PERSON,JS_PERSON,PLAN_YN,IO_GUBUN
1,7,우리금융아트홀,제3체육관,체육행사,7330노인건강체조경연대회,20150917,20150917,1,550,,,내부
1,9,올림픽홀,올림픽홀,대중공연,"Hiphop PARYY - 딘, 크러시, 자이언티 / DJ. DOC, 코요테",20170418,20170422,4,8000,3800,N,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,2017 조항조 장윤정 첫번째 콘서트 - 서울공연,20170324,20170325,2,3000,,N,내부
1,25,만남의광장,만남의광장,공공행사,2017서울국제마라톤대회,20170318,20170319,2,0,10000,N,외부
1,9,올림픽홀,올림픽홀,대중공연,나훈아콘서트,20171031,20171105,6,2900,8735,N,내부
1,9,올림픽홀,올림픽홀,대중공연,여자친구 THE FIRST FAN MEETING [DEAR BUDDY],20170402,20170402,1,2000,2337,N,내부
1,21,88잔디마당,88잔디마당,문화예술행사,2017 조이올팍 페스티벌,20170918,20170926,9,10000,,N,외부
1,5,핸드볼경기장,핸드볼경기장,공공행사,제7회 전국동시지방선거 및 국회의원재선거 개표,20180609,20180614,6,1000,1200,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2018 팬텀 vs 팬텀 콘서트 (가칭),20180616,20180617,4,2700,3430,N,내부
1,19,평화의광장,평화의광장,공공행사,2018 평창 동계패럴림픽대회 합화 행사,20180301,20180304,4,1000,,N,외부
1,8,K-아트홀,K-아트홀,대중공연,"태권도공연""킥스""연습실 대관",20171216,20180225,,100,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,iKON 2018 PRIVATE STAGE(가제),20180606,20180609,4,3500,5350,N,내부
1,9,올림픽홀,올림픽홀,대중공연,이선희 콘서트 -리메이크 음반 발매기념,20180626,20180701,6,9000,8681,N,내부
1,9,올림픽홀,올림픽홀,대중공연,WINNER 2018 PRIVATE STAGE [#위너는토론중 WWIC 2018] (가제),20180615,20180617,3,3000,5930,N,내부
1,21,88잔디마당,88잔디마당,문화예술행사,구스아일랜드 옥토버베스트 뮤직페스티벌,20181026,20181027,2,3000,,N,외부
