DK_SS,DK_NAME,DK_BRIEF_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,RENT_END_YMD,DK_DAY,SIN_PERSON,JS_PERSON,PLAN_YN,IO_GUBUN,Covid
33,88호수수변무대,88호수,공공행사,2019 서울트레킹,20191012,20191012,1,1000,1000,N,외부,0
33,88호수수변무대,88호수,공공행사,"(가안) 따뜻한 작별, 걷기대회",20181027,20181027,1,150,,N,외부,0
33,88호수수변무대,88호수,공공행사,오리엔티어링 대회,20180609,20180609,1,500,,N,외부,0
33,88호수수변무대,88호수,공공행사,제5회 전국유방암환우총연합회 희망나눔걷기,20181006,20181006,1,1500,,N,외부,0
8,K-아트홀,K-아트홀,공공행사,국민체육진흥공단 창립 32주년 기념식,20210419,20210419,1,200,,N,내부,1
25,만남의광장,만남의광장,공공행사,GMF2017,20171009,20171010,2,1000,,N,외부,0
25,만남의광장,만남의광장,공공행사,제4회제주농어촌체험페스티벌,20181004,20181007,4,6000,,N,외부,0
25,만남의광장,만남의광장,공공행사,제4회제주농어촌체험페스티벌,20181005,20181007,3,4000,4000,N,외부,0
25,만남의광장,만남의광장,공공행사,감귤데이 2주년 기념행사,20171130,20171130,1,2000,,N,외부,0
25,만남의광장,만남의광장,공공행사,2020 한국체육인회 ,20201118,20201118,1,100,,N,외부,1
29,몽촌해자수변무대A,몽촌해자A,공공행사,제12회 대한민국웃음운동경연대회,20181027,20181027,1,500,,N,외부,0
15,벨로드롬,벨로드롬,공공행사,송파경찰서 한마음 한울타리 어울림 체육대회,20170915,20170915,1,0,150,N,내부,0
3,KSPO DOME(체조경기장),제1체육관,공공행사,민주평화통일자문회의 제19기 출범회의,20190909,20190910,2,12000,,N,내부,0
3,KSPO DOME(체조경기장),제1체육관,공공행사,스포츠산업 잡페어 2018,20181025,20181026,2,6000,6000,N,내부,0
3,KSPO DOME(체조경기장),제1체육관,공공행사,2018 서울시 취업성공 페스티벌,20181023,20181024,2,3000,,N,내부,0
3,KSPO DOME(체조경기장),제1체육관,공공행사,민주평화통일자문회의 제19기 출범회의,20200120,20200122,3,10000,,N,내부,0
3,KSPO DOME(체조경기장),제1체육관,공공행사,제21대 국회의원선거 개표,20200411,20200416,6,1000,850,N,내부,1
3,KSPO DOME(체조경기장),제1체육관,공공행사,제19기 민주평화통일자문회의 전체회의,20200831,20200902,3,10000,,N,내부,1
3,KSPO DOME(체조경기장),제1체육관,공공행사,대한민국 동행세일,20200623,20200704,12,1200,1200,N,내부,1
3,KSPO DOME(체조경기장),제1체육관,공공행사,행사명test,20210513,20210516,3,22,,,내부,1
3,KSPO DOME(체조경기장),제1체육관,공공행사,한중일 이스포츠 대회 [복사본],20210906,20210913,,24000,,N,내부,1
3,KSPO DOME(체조경기장),제1체육관,공공행사,한중일 이스포츠 대회,20210906,20210913,8,24000,,N,내부,1
7,우리금융아트홀,제3체육관,공공행사,국세청 채용면접,20210813,20210814,2,300,300,N,내부,1
19,평화의광장,평화의광장,공공행사,2018 평창 동계패럴림픽대회 합화 행사,20180301,20180304,4,1000,,N,외부,0
19,평화의광장,평화의광장,공공행사,2017 UN세계요가의날 한국행사,20170621,20170621,1,1500,1000,N,외부,0
19,평화의광장,평화의광장,공공행사,평창동계올림픽 성공기원 문화시민응원단 한마음 페스티벌,20170930,20170930,1,3000,2500,N,외부,0
19,평화의광장,평화의광장,공공행사,2018 스포츠재능나눔(페스티벌),20180831,20180901,2,3000,3000,N,외부,0
19,평화의광장,평화의광장,공공행사,2018 제1회 반려동물 동물등록 활성화 캠페인,20181110,20181110,1,1000,,N,외부,0
19,평화의광장,평화의광장,공공행사,2019 서울 스포츠 재능나눔 페스티벌,20190830,20190831,2,1500,1500,N,외부,0
